,Year,COUNTY,OSHPD_ID,Facility Name,Licensed Bed Classification,License Bed Designation,Licensed Bed Day,Discharges,Census Day,Intra Hospital Transfer from Critical Care,available beds,County labels,Facility Label,Beds Required('Predicted')
605,2005-01-01,Contra Costa,106074039.0,MT. DIABLO MEDICAL PAVILION,General Acute Care,Intensive Care,0.0,0.0,0.0,0,0.0,62,520,-1.8189894035458565e-12
619,2005-01-01,Contra Costa,106074093.0,KAISER FNDN HOSP - RICHMOND CAMPUS,General Acute Care,Intensive Care,1460.0,152.0,1057.0,347,902.0,62,338,901.9999999999984
633,2005-01-01,Del Norte,106084001.0,SUTTER COAST HOSPITAL,General Acute Care,Intensive Care,2190.0,540.0,2212.0,0,518.0,63,752,517.999999999999
647,2005-01-01,El Dorado,106090793.0,BARTON MEMORIAL HOSPITAL,General Acute Care,Intensive Care,3285.0,194.0,1646.0,0,1833.0,64,51,1832.9999999999998
661,2005-01-01,El Dorado,106090933.0,MARSHALL  MEDICAL CENTER (1-RH),General Acute Care,Intensive Care,2920.0,248.0,2020.0,525,1673.0,64,473,1672.9999999999989
675,2005-01-01,El Dorado,106094002.0,EL DORADO COUNTY P H F,General Acute Care,Intensive Care,0.0,0.0,0.0,0,0.0,64,194,-1.8189894035458565e-12
689,2005-01-01,Fresno,106100005.0,COMMUNITY MEDICAL CENTER - CLOVIS,General Acute Care,Intensive Care,2555.0,121.0,1604.0,0,1072.0,65,130,1071.9999999999993
703,2005-01-01,Fresno,106100697.0,COALINGA REGIONAL MEDICAL CENTER,General Acute Care,Intensive Care,0.0,0.0,0.0,0,0.0,65,109,-1.8189894035458565e-12
717,2005-01-01,Fresno,106100717.0,COMMUNITY REGIONAL MEDICAL CENTER-FRESNO,General Acute Care,Intensive Care,25900.0,449.0,4093.0,0,22256.0,65,134,22256.000000000015
731,2005-01-01,Fresno,106100745.0,KINGSBURG MEDICAL CENTER,General Acute Care,Intensive Care,0.0,0.0,0.0,0,0.0,65,409,-1.8189894035458565e-12
745,2005-01-01,Fresno,106100791.0,CENTRAL VALLEY ORTHOPEDIC AND SPINE INSTITUTE,General Acute Care,Intensive Care,0.0,0.0,0.0,0,0.0,65,83,-1.8189894035458565e-12
759,2005-01-01,Fresno,106100793.0,SELMA COMMUNITY HOSPITAL,General Acute Care,Intensive Care,0.0,0.0,0.0,0,0.0,65,657,-1.8189894035458565e-12
773,2005-01-01,Fresno,106100797.0,SIERRA KINGS DISTRICT HOSPITAL,General Acute Care,Intensive Care,0.0,0.0,0.0,0,0.0,65,684,-1.8189894035458565e-12
787,2005-01-01,Fresno,106100822.0,UNIVERSITY MEDICAL CENTER,General Acute Care,Intensive Care,9490.0,283.0,7937.0,0,1836.0,65,819,1836.0
801,2005-01-01,Fresno,106100899.0,ST. AGNES MEDICAL CENTER,General Acute Care,Intensive Care,11495.0,258.0,5849.0,893,6797.0,65,713,6797.000000000002
816,2005-01-01,Fresno,106104008.0,COMMUNITY BEHAVIORAL HEALTH CENTER,General Acute Care,Intensive Care,0.0,0.0,0.0,0,0.0,65,121,-1.8189894035458565e-12
830,2005-01-01,Fresno,106104023.0,SAN JOAQUIN VALLEY REHABILITATION HOSPITAL,General Acute Care,Intensive Care,0.0,0.0,0.0,0,0.0,65,630,-1.8189894035458565e-12
844,2005-01-01,Fresno,106104047.0,FRESNO SURGERY CENTER,General Acute Care,Intensive Care,0.0,0.0,0.0,0,0.0,65,225,-1.8189894035458565e-12
858,2005-01-01,Fresno,106104062.0,KAISER FND HOSP - FRESNO,General Acute Care,Intensive Care,4380.0,206.0,2617.0,688,2657.0,65,295,2656.9999999999995
872,2005-01-01,Fresno,106104089.0,FRESNO COUNTY PSYCHIATRIC HEALTH FACILITY,General Acute Care,Intensive Care,0.0,0.0,0.0,0,0.0,65,222,-1.8189894035458565e-12
886,2005-01-01,Fresno,106105029.0,FRESNO HEART HOSPITAL,General Acute Care,Intensive Care,0.0,0.0,0.0,0,0.0,65,224,-1.8189894035458565e-12
900,2005-01-01,Glenn,106110889.0,GLENN MEDICAL CENTER,General Acute Care,Intensive Care,0.0,0.0,0.0,0,0.0,66,241,-1.8189894035458565e-12
914,2005-01-01,Humboldt,106120981.0,"GENERAL HOSPITAL, THE",General Acute Care,Intensive Care,2920.0,0.0,0.0,0,2920.0,67,234,2920.0
926,2005-01-01,Humboldt,106121002.0,MAD RIVER COMMUNITY HOSPITAL,General Acute Care,Intensive Care,2190.0,170.0,1088.0,260,1532.0,67,460,1531.9999999999989
940,2005-01-01,Humboldt,106121031.0,JEROLD PHELPS COMMUNITY HOSPITAL,General Acute Care,Intensive Care,0.0,0.0,0.0,0,0.0,67,278,-1.8189894035458565e-12
954,2005-01-01,Humboldt,106121051.0,REDWOOD MEMORIAL HOSPITAL,General Acute Care,Intensive Care,1460.0,156.0,658.0,188,1146.0,67,596,1145.9999999999986
969,2005-01-01,Humboldt,106121080.0,ST. JOSEPH HOSPITAL - EUREKA,General Acute Care,Intensive Care,1460.0,57.0,1021.0,286,782.0,67,726,781.9999999999985
983,2005-01-01,Humboldt,106124004.0,SEMPERVIRENS P.H.F.,General Acute Care,Intensive Care,0.0,0.0,0.0,0,0.0,67,658,-1.8189894035458565e-12
998,2005-01-01,Imperial,106130699.0,EL CENTRO REGIONAL MEDICAL CENTER,General Acute Care,Intensive Care,7300.0,234.0,3342.0,799,4991.0,68,193,4991.000000000001
1012,2005-01-01,Imperial,106130760.0,PIONEERS MEMORIAL HOSPITAL,General Acute Care,Intensive Care,2920.0,155.0,1821.0,427,1681.0,68,568,1680.9999999999989
1026,2005-01-01,Inyo,106141273.0,NORTHERN INYO HOSPITAL,General Acute Care,Intensive Care,2190.0,82.0,333.0,116,2055.0,69,530,2054.999999999999
1040,2005-01-01,Inyo,106141338.0,SOUTHERN INYO HOSPITAL,General Acute Care,Intensive Care,0.0,0.0,0.0,0,0.0,69,710,-1.8189894035458565e-12
1054,2005-01-01,Kern,106150706.0,DELANO REGIONAL MEDICAL CENTER,General Acute Care,Intensive Care,3650.0,114.0,1955.0,218,2027.0,70,157,2026.9999999999993
1068,2005-01-01,Kern,106150722.0,BAKERSFIELD MEMORIAL HOSPITAL- 34TH STREET,General Acute Care,Intensive Care,2920.0,197.0,5404.0,1039,-1248.0,70,45,-1248.000000000003
1082,2005-01-01,Kern,106150736.0,KERN MEDICAL CENTER,General Acute Care,Intensive Care,4380.0,133.0,2680.0,489,2322.0,70,385,2321.9999999999995
1096,2005-01-01,Kern,106150737.0,KERN VALLEY HEALTHCARE DISTRICT,General Acute Care,Intensive Care,1095.0,8.0,49.0,17,1071.0,70,386,1070.9999999999989
1110,2005-01-01,Kern,106150761.0,MERCY HOSPITAL - BAKERSFIELD,General Acute Care,Intensive Care,4015.0,159.0,3743.0,585,1016.0,70,484,1015.999999999999
1124,2005-01-01,Kern,106150775.0,GOOD SAMARITAN HOSPITAL-BAKERSFIELD,General Acute Care,Intensive Care,1460.0,89.0,410.0,0,1139.0,70,243,1138.9999999999989
1138,2005-01-01,Kern,106150782.0,RIDGECREST REGIONAL HOSPITAL,General Acute Care,Intensive Care,2920.0,51.0,1050.0,237,2158.0,70,603,2157.9999999999995
1152,2005-01-01,Kern,106150788.0,SAN JOAQUIN COMMUNITY HOSPITAL,General Acute Care,Intensive Care,7665.0,194.0,5164.0,1332,4027.0,70,625,4027.0000000000005
1166,2005-01-01,Kern,106150808.0,TEHACHAPI HOSPITAL,General Acute Care,Intensive Care,0.0,0.0,0.0,0,0.0,70,774,-1.8189894035458565e-12
1180,2005-01-01,Kern,106150830.0,MERCY WESTSIDE HOSPITAL,General Acute Care,Intensive Care,0.0,0.0,0.0,0,0.0,70,495,-1.8189894035458565e-12
1194,2005-01-01,Kern,106154022.0,HEALTHSOUTH BAKERSFIELD REHABILITATION HOSPITAL,General Acute Care,Intensive Care,0.0,0.0,0.0,0,0.0,70,257,-1.8189894035458565e-12
1208,2005-01-01,Kern,106154101.0,BAKERSFIELD HEART HOSPITAL,General Acute Care,Intensive Care,0.0,0.0,0.0,0,0.0,70,43,-1.8189894035458565e-12
1222,2005-01-01,Kern,106154108.0,MERCY SOUTHWEST HOSPITAL,General Acute Care,Intensive Care,2784.0,138.0,1860.0,306,1368.0,70,494,1367.9999999999989
1236,2005-01-01,Kings,106160702.0,CORCORAN DISTRICT HOSPITAL,General Acute Care,Intensive Care,0.0,0.0,0.0,0,0.0,71,140,-1.8189894035458565e-12
1250,2005-01-01,Kings,106160725.0,HANFORD COMMUNITY MEDICAL CENTER,General Acute Care,Intensive Care,3650.0,232.0,2835.0,0,1047.0,71,248,1046.999999999999
1264,2005-01-01,Kings,106160787.0,CENTRAL VALLEY GENERAL HOSPITAL,General Acute Care,Intensive Care,0.0,0.0,0.0,0,0.0,71,82,-1.8189894035458565e-12
1278,2005-01-01,Lake,106171049.0,REDBUD COMMUNITY HOSPITAL,General Acute Care,Intensive Care,1460.0,259.0,371.0,0,1348.0,72,594,1347.999999999999
1290,2005-01-01,Lake,106171395.0,SUTTER LAKESIDE HOSPITAL,General Acute Care,Intensive Care,2190.0,178.0,1065.0,0,1303.0,72,756,1302.999999999999
1304,2005-01-01,Lassen,106184008.0,BANNER LASSEN MEDICAL CENTER,General Acute Care,Intensive Care,0.0,0.0,0.0,0,0.0,73,48,-1.8189894035458565e-12
1318,2005-01-01,Los Angeles,106190017.0,ALHAMBRA HOSPITAL,General Acute Care,Intensive Care,2190.0,110.0,1502.0,415,1213.0,74,10,1212.9999999999986
1333,2005-01-01,Los Angeles,106190020.0,BHC ALHAMBRA HOSPITAL,General Acute Care,Intensive Care,0.0,0.0,0.0,0,0.0,74,56,-1.8189894035458565e-12
1347,2005-01-01,Los Angeles,106190034.0,ANTELOPE VALLEY HOSPITAL MEDICAL CENTER,General Acute Care,Intensive Care,7665.0,234.0,6646.0,1633,2886.0,74,31,2886.0
1362,2005-01-01,Los Angeles,106190045.0,CATALINA ISLAND MEDICAL CENTER,General Acute Care,Intensive Care,0.0,0.0,0.0,0,0.0,74,75,-1.8189894035458565e-12
1376,2005-01-01,Los Angeles,106190049.0,VISTA SPECIALTY HOSPITAL OF SAN GABRIEL VALLEY,General Acute Care,Intensive Care,2920.0,72.0,2339.0,0,653.0,74,848,652.999999999999
1390,2005-01-01,Los Angeles,106190052.0,BARLOW RESPIRATORY HOSPITAL,General Acute Care,Intensive Care,0.0,0.0,0.0,0,0.0,74,49,-1.8189894035458565e-12
1404,2005-01-01,Los Angeles,106190053.0,ST. MARY MEDICAL CENTER,General Acute Care,Intensive Care,14235.0,598.0,6122.0,984,9695.0,74,734,9695.000000000005
1418,2005-01-01,Los Angeles,106190066.0,BELLFLOWER MEDICAL CENTER,General Acute Care,Intensive Care,1825.0,255.0,1688.0,0,392.0,74,53,391.9999999999988
1432,2005-01-01,Los Angeles,106190081.0,BEVERLY HOSPITAL,General Acute Care,Intensive Care,4380.0,264.0,3448.0,0,1196.0,74,55,1195.9999999999993
1446,2005-01-01,Los Angeles,106190125.0,CALIFORNIA HOSPITAL MEDICAL CENTER - LOS ANGELES,General Acute Care,Intensive Care,7300.0,503.0,5427.0,751,3127.0,74,62,3127.0
1460,2005-01-01,Los Angeles,106190135.0,KAISER FND HOSP - CARSON,General Acute Care,Intensive Care,0.0,0.0,0.0,0,0.0,74,292,-1.8189894035458565e-12
1475,2005-01-01,Los Angeles,106190137.0,CASA COLINA HOSPITAL FOR REHAB MEDICINE,General Acute Care,Intensive Care,0.0,0.0,0.0,0,0.0,74,74,-1.8189894035458565e-12
1489,2005-01-01,Los Angeles,106190150.0,KEDREN COMMUNITY MENTAL HEALTH CENTER,General Acute Care,Intensive Care,0.0,0.0,0.0,0,0.0,74,381,-1.8189894035458565e-12
1504,2005-01-01,Los Angeles,106190159.0,TRI-CITY REGIONAL MEDICAL CENTER,General Acute Care,Intensive Care,4745.0,127.0,1833.0,472,3511.0,74,799,3510.9999999999995
1518,2005-01-01,Los Angeles,106190163.0,AURORA CHARTER OAK,General Acute Care,Intensive Care,0.0,0.0,0.0,0,0.0,74,38,-1.8189894035458565e-12
1532,2005-01-01,Los Angeles,106190170.0,CHILDRENS HOSPITAL OF LOS ANGELES,General Acute Care,Intensive Care,16790.0,446.0,13862.0,1586,4960.0,74,93,4960.000000000002
1546,2005-01-01,Los Angeles,106190176.0,HELFORD CLINICAL RESEARCH HOSP AT CITY OF HOPE,General Acute Care,Intensive Care,5298.0,690.0,4007.0,0,1981.0,74,260,1981.0
1560,2005-01-01,Los Angeles,106190184.0,COLLEGE HOSPITAL,General Acute Care,Intensive Care,0.0,0.0,0.0,0,0.0,74,114,-1.8189894035458565e-12
1573,2005-01-01,Los Angeles,106190198.0,LOS ANGELES COMMUNITY HOSPITAL,General Acute Care,Intensive Care,2190.0,106.0,1497.0,0,799.0,74,448,798.9999999999989
1587,2005-01-01,Los Angeles,106190200.0,SAN GABRIEL VALLEY MEDICAL CENTER,General Acute Care,Intensive Care,6935.0,295.0,4569.0,1444,4105.0,74,623,4105.0
1601,2005-01-01,Los Angeles,106190230.0,CENTINELA FREEMAN REG MED CTR-MEMORIAL CAMPUS,General Acute Care,Intensive Care,4745.0,217.0,3794.0,253,1421.0,74,79,1420.999999999999
1615,2005-01-01,Los Angeles,106190232.0,DEL AMO HOSPITAL,General Acute Care,Intensive Care,0.0,0.0,0.0,0,0.0,74,156,-1.8189894035458565e-12
1629,2005-01-01,Los Angeles,106190240.0,LAKEWOOD REGIONAL MEDICAL CENTER,General Acute Care,Intensive Care,2920.0,267.0,2542.0,1013,1658.0,74,418,1657.9999999999984
1643,2005-01-01,Los Angeles,106190243.0,DOWNEY REGIONAL MEDICAL CENTER,General Acute Care,Intensive Care,2920.0,244.0,2429.0,580,1315.0,74,179,1314.9999999999986
1657,2005-01-01,Los Angeles,106190256.0,EAST LOS ANGELES DOCTORS HOSPITAL,General Acute Care,Intensive Care,1460.0,86.0,1312.0,92,326.0,74,183,325.99999999999847
1671,2005-01-01,Los Angeles,106190280.0,ENCINO-TARZANA REGIONAL MED CTR-ENCINO,General Acute Care,Intensive Care,1825.0,94.0,847.0,0,1072.0,74,198,1071.9999999999989
1685,2005-01-01,Los Angeles,106190298.0,FOOTHILL PRESBYTERIAN HOSPITAL-JOHNSTON MEMORIAL,General Acute Care,Intensive Care,3285.0,488.0,2758.0,571,1586.0,74,212,1585.9999999999989
1699,2005-01-01,Los Angeles,106190307.0,"PACIFIC ALLIANCE MEDICAL CENTER, INC.",General Acute Care,Intensive Care,3285.0,97.0,1988.0,165,1559.0,74,547,1558.9999999999995
1713,2005-01-01,Los Angeles,106190315.0,GARFIELD MEDICAL CENTER,General Acute Care,Intensive Care,5110.0,209.0,3343.0,530,2506.0,74,231,2506.0
1727,2005-01-01,Los Angeles,106190317.0,GATEWAYS HOSPITAL AND MENTAL HEALTH CENTER,General Acute Care,Intensive Care,0.0,0.0,0.0,0,0.0,74,233,-1.8189894035458565e-12
1742,2005-01-01,Los Angeles,106190323.0,GLENDALE ADVENTIST MEDICAL CENTER - WILSON TERRACE,General Acute Care,Intensive Care,3650.0,121.0,3156.0,815,1430.0,74,237,1429.9999999999986
1756,2005-01-01,Los Angeles,106190328.0,EAST VALLEY HOSPITAL MEDICAL CENTER,General Acute Care,Intensive Care,1825.0,297.0,1550.0,270,842.0,74,184,841.9999999999987
1770,2005-01-01,Los Angeles,106190380.0,HOLLYWOOD COMMUNITY HOSPITAL OF HOLLYWOOD,General Acute Care,Intensive Care,1825.0,108.0,1769.0,0,164.0,74,270,163.99999999999852
1784,2005-01-01,Los Angeles,106190382.0,HOLLYWOOD PRESBYTERIAN MEDICAL CENTER,General Acute Care,Intensive Care,10220.0,358.0,5748.0,675,5505.0,74,273,5505.000000000003
1798,2005-01-01,Los Angeles,106190385.0,PROVIDENCE HOLY CROSS MEDICAL CENTER,General Acute Care,Intensive Care,4380.0,324.0,5394.0,0,-690.0,74,580,-690.0000000000015
1812,2005-01-01,Los Angeles,106190392.0,GOOD SAMARITAN HOSPITAL-LOS ANGELES,General Acute Care,Intensive Care,21170.0,388.0,8931.0,2124,14751.0,74,244,14751.000000000007
1826,2005-01-01,Los Angeles,106190400.0,HUNTINGTON MEMORIAL HOSPITAL,General Acute Care,Intensive Care,14600.0,573.0,3334.0,1164,13003.0,74,275,13003.000000000005
1840,2005-01-01,Los Angeles,106190413.0,CITRUS VALLEY MEDICAL CENTER - IC CAMPUS,General Acute Care,Intensive Care,2920.0,155.0,2271.0,605,1409.0,74,101,1408.9999999999986
1854,2005-01-01,Los Angeles,106190422.0,TORRANCE MEMORIAL MEDICAL CENTER,General Acute Care,Intensive Care,8760.0,479.0,7699.0,1439,2979.0,74,796,2978.9999999999995
1868,2005-01-01,Los Angeles,106190429.0,KAISER FND HOSP - SUNSET,General Acute Care,Intensive Care,21900.0,1803.0,15618.0,2032,10117.0,74,329,10117.000000000004
1882,2005-01-01,Los Angeles,106190430.0,KAISER FND HOSP - BELLFLOWER,General Acute Care,Intensive Care,8760.0,275.0,3292.0,1016,6759.0,74,291,6759.000000000001
1896,2005-01-01,Los Angeles,106190431.0,KAISER FND HOSP - HARBOR CITY,General Acute Care,Intensive Care,3650.0,209.0,2600.0,948,2207.0,74,297,2206.9999999999986
1910,2005-01-01,Los Angeles,106190432.0,KAISER FND HOSP - PANORAMA CITY,General Acute Care,Intensive Care,10950.0,319.0,2856.0,1141,9554.0,74,308,9554.000000000004
1924,2005-01-01,Los Angeles,106190434.0,KAISER FND HOSP - WEST LA,General Acute Care,Intensive Care,12410.0,744.0,6033.0,927,8048.0,74,331,8048.000000000004
1938,2005-01-01,Los Angeles,106190449.0,KINDRED HOSPITAL - LA MIRADA,General Acute Care,Intensive Care,2190.0,55.0,1809.0,93,529.0,74,389,528.9999999999987
1952,2005-01-01,Los Angeles,106190458.0,KINDRED HOSPITAL - SAN GABRIEL VALLEY,General Acute Care,Intensive Care,2190.0,58.0,1120.0,137,1265.0,74,398,1264.999999999999
1966,2005-01-01,Los Angeles,106190462.0,"AURORA LAS ENCINAS HOSPITAL, LLC",General Acute Care,Intensive Care,0.0,0.0,0.0,0,0.0,74,40,-1.8189894035458565e-12
1981,2005-01-01,Los Angeles,106190468.0,PROMISE HOSPITAL OF EAST LOS ANGELES-EAST L.A. CAMPUS,General Acute Care,Intensive Care,730.0,21.0,395.0,0,356.0,74,576,355.99999999999847
1995,2005-01-01,Los Angeles,106190470.0,LITTLE COMPANY OF MARY HOSPITAL,General Acute Care,Intensive Care,10220.0,587.0,7658.0,907,4056.0,74,426,4056.000000000002
2009,2005-01-01,Los Angeles,106190475.0,COMMUNITY HOSPITAL OF LONG BEACH,General Acute Care,Intensive Care,7665.0,344.0,2586.0,0,5423.0,74,125,5423.000000000003
2023,2005-01-01,Los Angeles,106190477.0,PACIFIC HOSPITAL-SOUTH CAMPUS D/P APH,General Acute Care,Intensive Care,0.0,0.0,0.0,0,0.0,74,550,-1.8189894035458565e-12
2037,2005-01-01,Los Angeles,106190500.0,CENTINELA FREEMAN REG MED CTR-MARINA CAMPUS,General Acute Care,Intensive Care,4380.0,227.0,2728.0,244,2123.0,74,78,2122.9999999999995
2051,2005-01-01,Los Angeles,106190517.0,ENCINO-TARZANA REGIONAL MED CTR-TARZANA,General Acute Care,Intensive Care,6205.0,262.0,4715.0,0,1752.0,74,199,1752.0000000000007
2065,2005-01-01,Los Angeles,106190521.0,MEMORIAL HOSPITAL OF GARDENA,General Acute Care,Intensive Care,1825.0,253.0,3445.0,517,-850.0,74,479,-850.0000000000024
